date,Accessories,All groups CPI,"Audio, visual and computing equipment","Audio, visual and computing media and services",Automotive fuel,Beef and veal,Beer,Books,Bread,Breakfast cereals,Cakes and biscuits,Carpets and other floor coverings,Cheese,Child care,Cleaning and maintenance products,"Cleaning, repair and hire of clothing and footwear","Coffee, tea and cocoa",Dental services,Domestic holiday travel and accommodation,Eggs,Electricity,"Equipment for sports, camping and open-air recreation",Fish and other seafood,Food additives and condiments,Footwear for infants and children,Footwear for men,Footwear for women,Fruit,Furniture,"Games, toys and hobbies",Garments for infants and children,Garments for men,Garments for women,Gas and other household fuels,"Glassware, tableware and household utensils",Hairdressing and personal grooming services,Household textiles,Ice cream and other dairy products,Insurance,International holiday travel and accommodation,"Jams, honey and spreads",Lamb and goat,Maintenance and repair of motor vehicles,Maintenance and repair of the dwelling,Major household appliances,Medical and hospital services,Milk,Motor vehicles,New dwelling purchase by owner-occupiers,"Newspapers, magazines and stationery",Oils and fats,Other cereal products,Other food products n.e.c.,Other household services,Other meats,Other non-durable household products,"Other recreational, sporting and cultural services",Other services in respect of motor vehicles,Personal care products,Pets and related products,Pharmaceutical products,Pork,Postal services,Poultry,Preschool and primary education,Property rates and charges,Rents,Restaurant meals,Secondary education,Small electric household appliances,Snacks and confectionery,Spare parts and accessories for motor vehicles,Spirits,Sports participation,Take away and fast foods,Telecommunication equipment and services,Tertiary education,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Urban transport fares,Vegetables,Veterinary and other services for pets,Water and sewerage,"Waters, soft drinks and juices",Wine
2015-03-01,9.2,1.0,-8.2,-5.0,-23.6,4.8,3.7,-1.4,-6.4,-2.2,2.6,-2.2,6.9,10.0,0.7,4.6,4.9,3.3,5.3,0.0,-4.7,2.7,0.3,-4.5,2.9,-1.5,1.8,0.8,0.5,-0.8,-4.7,-1.7,-4.6,-1.5,-4.0,1.7,-14.3,0.9,2.9,3.6,8.1,6.3,2.6,2.1,0.5,7.2,0.1,-1.6,4.9,4.5,2.4,-1.2,-0.7,3.9,9.6,3.4,7.0,8.7,0.6,-3.1,-0.7,6.2,-1.6,-1.2,6.7,6.1,2.5,2.7,5.6,-0.6,0.9,7.0,-0.3,4.6,3.4,-4.6,2.4,2.1,12.7,0.1,-15.4,0.4,3.0,-9.6,-2.7,-1.2
2015-06-01,4.5,1.1,-6.8,-5.4,-11.8,6.1,2.8,3.5,-9.1,-1.0,-0.4,1.9,2.6,8.8,-0.5,5.8,4.8,2.5,4.5,-0.7,-3.6,5.0,-0.5,-2.4,-1.9,-6.3,-11.1,4.0,2.0,-4.5,-3.8,-2.4,-8.1,-0.5,-3.0,1.9,-6.6,-0.7,4.4,-0.5,3.2,-0.5,3.4,2.5,4.5,7.3,-1.4,-2.9,3.9,2.5,1.8,-0.2,-1.3,4.7,5.0,2.5,7.8,8.7,-0.3,-1.2,-0.7,3.6,1.1,-2.2,6.6,6.1,2.6,2.9,5.6,0.3,-0.7,6.2,-0.2,2.4,3.8,-3.6,2.4,-2.0,10.6,1.5,-15.4,-4.0,1.6,-10.2,-2.4,-0.9
2015-09-01,-1.3,1.4,-9.2,-3.8,-12.2,8.9,4.3,-2.1,-8.0,3.8,3.1,2.2,-2.3,11.5,-2.3,4.6,-0.3,0.8,2.9,-1.6,5.4,1.5,1.4,-1.2,-5.4,-5.1,-10.0,-0.1,1.2,-2.5,-3.8,1.6,-5.8,7.1,-8.0,2.1,0.4,0.4,3.6,2.5,-4.2,3.9,4.8,2.4,5.5,7.2,-0.7,-0.7,3.5,3.8,1.5,0.1,-1.7,3.5,3.6,2.2,6.9,2.6,0.9,-3.3,1.6,4.2,1.3,-4.8,7.1,5.5,2.2,2.9,5.6,4.1,1.1,3.4,-1.0,2.7,2.4,-4.2,2.4,-2.6,9.7,2.9,-16.1,-5.5,3.9,3.3,-2.6,-0.8
2015-12-01,7.2,1.9,-3.8,1.3,-8.4,10.9,4.6,-4.4,-6.5,2.3,-0.4,3.1,-1.7,8.0,-0.8,4.8,-3.3,0.9,3.6,-1.5,5.4,3.3,2.2,-0.5,-1.3,-8.2,-10.2,-3.4,1.9,-0.7,-2.5,3.3,-0.5,7.4,6.6,2.1,2.7,-1.3,4.4,3.5,-2.9,9.8,4.8,2.5,2.2,7.5,-1.3,0.9,3.1,1.1,-0.8,-1.1,-2.2,3.6,1.1,-1.7,8.9,2.6,-1.5,-6.3,3.0,5.4,-1.9,-4.1,6.5,5.5,1.7,1.4,5.6,5.0,-0.5,-0.8,1.6,1.7,3.0,-6.5,2.4,-3.3,12.3,2.9,-16.1,-1.1,4.9,3.3,-2.9,-3.3
2016-03-01,1.9,1.7,-6.3,-2.2,-5.9,15.0,4.4,-1.4,-2.2,-6.3,-1.8,6.2,-4.4,8.5,1.0,3.8,0.0,1.4,-1.8,1.2,-0.8,2.5,1.0,1.4,-5.2,-0.9,-7.1,-4.6,1.6,-1.7,4.0,0.0,2.1,7.6,0.9,1.7,5.7,-3.0,5.2,4.0,-2.0,9.1,3.9,3.0,3.7,6.8,-2.3,0.8,3.8,0.9,-0.7,-1.1,-1.9,2.5,2.1,-2.1,4.2,1.8,-3.2,-5.5,1.4,1.4,-0.5,-3.1,5.4,5.5,1.4,1.4,5.5,4.7,1.6,-0.8,2.1,1.0,2.0,-6.7,1.9,-4.9,12.0,3.5,1.4,-4.6,5.1,3.3,-1.8,-2.5
2016-06-01,0.7,1.4,-8.4,0.7,-9.0,11.5,4.0,-5.5,0.3,-9.6,-1.3,3.2,-2.2,8.8,0.3,3.3,-4.5,2.1,0.1,0.3,-1.9,1.5,1.8,-0.5,3.8,1.8,7.1,-4.6,0.0,-0.9,2.2,-0.5,3.8,6.6,4.4,1.4,1.2,-0.7,5.1,5.3,-3.0,9.1,2.8,2.5,1.4,6.2,-1.6,2.1,2.7,2.0,0.9,-3.0,-2.8,2.3,1.7,-0.8,4.7,1.8,-3.3,-1.5,1.3,1.4,-0.9,-5.0,5.4,5.5,1.4,1.4,5.5,1.2,-1.7,-2.5,2.6,1.0,1.4,-7.4,1.9,-1.6,11.1,3.2,1.4,2.1,4.9,3.3,-0.8,-5.8
2016-09-01,9.4,1.4,-9.9,-0.6,-10.4,8.9,3.6,0.6,1.2,-6.6,-2.0,1.5,-2.1,6.7,-1.3,2.6,-5.8,1.7,0.9,-0.3,-1.9,1.3,2.5,-0.1,0.6,-2.2,1.0,4.4,2.7,-2.5,4.6,1.5,-0.6,6.6,5.6,1.3,0.3,-3.0,5.3,2.2,0.1,11.9,1.1,1.9,-0.2,5.6,-0.5,-1.2,2.7,-0.2,2.2,-5.1,-2.4,2.7,-0.7,0.4,3.0,1.6,-1.8,3.8,0.3,-1.1,-0.1,-3.1,5.1,5.0,1.4,1.0,5.5,-0.4,-1.9,0.1,2.9,1.4,1.3,-7.9,2.5,-0.7,12.1,3.5,1.4,11.7,4.6,-0.5,-0.2,-4.3
2016-12-01,-2.1,1.5,-11.4,-0.4,1.5,6.0,2.7,1.7,-0.4,-2.3,-0.9,2.5,-3.6,7.4,-4.2,2.6,-0.4,1.7,0.2,0.3,-1.9,-1.1,0.7,0.8,-2.7,6.0,-7.3,9.5,-0.4,-2.9,3.4,2.9,-3.7,6.5,0.4,1.5,-4.3,-0.5,4.2,-2.9,-1.2,3.9,0.1,3.2,-0.4,5.5,0.1,-2.0,3.3,1.5,4.3,-4.6,0.7,2.5,-0.2,0.3,1.4,1.6,-4.6,5.9,-0.5,1.0,3.4,-1.6,5.2,5.0,1.6,1.8,5.5,0.3,0.2,1.9,0.7,1.9,0.4,-6.3,2.5,-1.0,12.6,1.5,1.4,14.2,3.2,-0.5,-2.5,-2.5
2017-03-01,3.6,2.5,-8.6,0.2,18.6,0.4,2.1,2.4,-0.3,-1.8,2.0,-2.8,-2.5,6.4,-3.1,4.1,-2.4,0.6,2.9,0.7,7.7,-0.8,2.5,0.1,-2.4,-0.8,0.0,13.7,0.0,0.3,2.1,3.2,-3.2,7.7,-3.7,1.3,-6.0,-0.8,3.0,-4.2,-1.6,2.1,0.3,2.5,-2.2,5.5,0.2,-2.0,3.7,2.3,4.2,-3.7,-4.0,1.8,-2.8,0.6,0.5,1.6,-2.5,6.3,-0.3,-0.9,4.1,-1.2,3.6,5.0,1.7,1.9,4.6,-4.0,-2.3,0.4,1.4,1.6,0.8,-5.2,3.0,0.3,13.3,3.1,3.8,14.6,3.4,-0.5,-5.7,-0.1
2017-06-01,3.9,2.2,-7.3,-0.2,7.3,-0.1,3.8,5.0,-1.2,-0.2,1.1,-0.7,-4.2,5.7,-2.1,4.8,-1.0,1.4,2.2,-1.3,8.2,-1.0,-1.1,-0.6,-5.2,-2.6,-2.1,6.4,-1.9,0.4,0.6,-2.8,-5.8,7.5,-2.6,1.2,-1.1,-2.2,3.9,-3.6,2.8,3.3,1.2,2.3,-3.4,5.2,0.6,-1.3,3.7,1.4,5.4,-2.9,3.1,1.8,-1.7,-0.6,1.3,1.6,-1.6,3.0,0.6,-5.7,3.5,0.7,3.5,5.0,1.7,2.0,4.6,-2.6,0.2,0.9,1.2,1.9,1.4,-4.2,3.0,0.6,13.5,2.7,4.0,13.7,3.3,-0.5,-3.0,-0.1
